portco_id,period,fy,fy_quarter,fy_month_num,tech_mrr_actual,tech_mrr_budget,tech_mrr_prior_year,services_mrr_actual,services_mrr_budget,services_mrr_prior_year,total_mrr_actual,tech_mrr_ytd_actual,tech_mrr_ytd_budget,tech_mrr_ytd_prior_year,services_mrr_ytd_actual,services_mrr_ytd_budget,services_mrr_ytd_prior_year,tech_arr,services_arr,total_arr,carr,implementation_backlog,revenue_ecommerce_actual,revenue_ecommerce_budget,revenue_ems_actual,revenue_ems_budget,revenue_services_actual,revenue_services_budget,revenue_total_actual,revenue_total_budget,revenue_total_prior_year,revenue_total_ytd_actual,revenue_total_ytd_budget,revenue_total_ytd_prior_year,revenue_yoy_growth_pct,revenue_vs_budget_pct,revenue_ytd_growth_pct,new_arr,expansion_arr,churn_arr,net_new_arr,acv,arpc_actual,arpc_budget,arpc_ytd_actual,arpc_ytd_budget,direct_costs_total,gross_profit_ecommerce,gross_profit_ems,gross_profit_services,gross_profit_total,tech_gross_margin_pct,tech_gross_margin_ytd_pct,tech_gross_margin_prior_pct,tech_gross_margin_budget_pct,contribution_ecommerce,contribution_ems,contribution_services,contribution_total,contribution_margin_pct,total_overheads,ebitda_actual,ebitda_budget,ebitda_prior_year,ebitda_margin_pct,ebitda_margin_ytd_pct,ebitda_margin_budget_pct,ebitda_margin_prior_pct,capex,ebitda_less_capex,ebitda_ytd_actual,ebitda_ytd_budget,cac,cac_payback_months,ltv,ltv_cac_ratio,sm_efficiency,sm_efficiency_ytd,revenue_per_employee,payroll_pct_revenue,revenue_churn_pct,revenue_churn_target,nrr_pct,grr_pct,logo_churn_count,logo_churn_pct,top5_customer_pct,nps_score,modules_sold_total,modules_sold_rooms,modules_sold_tables,modules_sold_spa,modules_sold_retail,modules_sold_events,modules_sold_vouchers,modules_live_total,modules_live_rooms,modules_live_tables,modules_live_spa,modules_live_retail,modules_live_events,modules_live_vouchers,modules_sold_month,modules_live_month,modules_churn,properties_sold,properties_live,properties_ecommerce,properties_ems,properties_services,revenue_per_live_module,time_to_value_days,time_to_value_excl_blocked,cash_balance,cash_balance_prior_month,cash_balance_budget,cash_burn_monthly,cash_runway_months,net_working_capital,nwc_prior_month,nwc_budget,free_cash_conversion_month,free_cash_conversion_ytd,free_cash_conversion_budget,ar_current,ar_30_days,ar_60_days,ar_90_plus_days,ar_total,rule_of_40,indicative_ev,total_headcount,headcount_budget,headcount_ecommerce,headcount_ems,headcount_services,headcount_central,gross_payroll,gross_payroll_budget,gl_revenue_actual_cumulative,gl_revenue_target_cumulative,gl_revenue_headroom_pct,gl_revenue_breach,gl_ebitda_actual_cumulative,gl_ebitda_target_cumulative,gl_ebitda_headroom_pct,gl_ebitda_breach,currency,data_source,computed_at,wf_revenue_start,wf_one_off_prev,wf_one_off_ytd,wf_recurring_growth,wf_arr_ytg,wf_weighted_pipeline,wf_budget_assumptions,wf_revenue_gap,wf_revenue_end
portco-alpha,2026-02-28,FY26,Q2,4,467135.52,561253.75,412688.58,304884.93,328228.34,241827.94,772020.45,2164263.75,2162366.45,1835077.04,1320353.76,1299027.38,1028180.04,5605626.24,3658619.16,9264245.4,9264245.4,0.0,339.48,439.08,140.7,151.85,400.14,477.36,880.32,1068.29,792.71,3945.26,4147.29,3320.65,11.05,-17.6,18.81,,,,,,1219.28,1409.36,1374.18,1394.05,-632.32,171.83,-18.27,94.44,248.0,31.98,42.54,44.86,40.68,171.83,-18.27,94.44,248.0,28.17,-356.04,-108.04,-17.57,115.87,-12.27,-3.43,-1.64,14.62,-326.53,-434.57,-135.31,-254.94,11373.35,29.17,14441.36,1.27,0.389,,6599.09,85.88,0.027,0.0167,,,,,,,,,,,,,,,,,,,,,,,,,1061,499,414,148,,179.0,135.0,1474245.03,1786637.77,2968505.74,-312392.74,13.65,-859167.01,-284625.84,1394235.0,1.51,5.91,-11.2,,,,,,0.145,46821941.21,133.4,136.03,26.0,33.7,47.4,26.3,756010.0,794698.82,,,,,,,,,GBP,ma_parser,2026-04-02 16:22:35.103583+00:00,,,,,,,,,
portco-alpha,2026-02-28,FY26,Q2,4,467135.52,561253.746635,412688.58,304884.93,328228.33695,241827.93999999997,772020.45,2164263.75,2162366.4485049997,1835077.04,1320353.76,1299027.37719,1028180.04,2164263.75,1320353.76,3484617.51,3484617.51,0.0,339.47573,439.080272736,140.7038,151.852807124,400.13866,477.36189998,880.31819,1068.29497984,792.71062,3945.26095,4147.291561999999,3320.6489899999997,11.051645807394372,-17.595963042731288,18.809936307059072,,,,,,1219.277271468144,1409.3601316622692,1374.1765761058866,1394.047583865546,-632.32223,171.82874,-18.27049999999997,94.43772,247.99596000000005,31.97933906095498,42.54235644687305,44.86075887125867,40.6775211214572,171.82874,-18.27049999999997,94.43772,247.99596000000005,28.171172970991325,-356.03560000000004,-108.03964,-17.57386094779997,115.87224999999997,-12.272794226823844,-3.429610657312812,-1.6449734111162733,14.617219332825382,-326.52892,-434.5685600000001,-135.30709000000024,-254.9443024000002,11373.353779582672,29.168667285153507,14441.363434665118,1.2697541740581486,0.3886644587783788,,6599.086881559219,85.87917511962351,0.027,0.0166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,1061,499,414,148,,179.0,135.0,1474245.0300000007,1786637.7700000005,2968505.737,-312392.7399999995,13.64540857411225,-859167.0099999992,-284625.83999999927,1394235.0042000008,1.5121887670118104,5.910140702900326,-11.197329538987418,,,,,,0.1452317226098542,46821941.20799999,133.4,136.03433333333334,26.0,33.7,47.400000000000006,26.3,756010.0,794698.8200099999,,,,,,,,,GBP,ma_parser,2026-04-06 13:49:54.582114+00:00,,,,,,,,,
portco-alpha,2026-02-28,FY26,Q2,4,467135.52,561253.746635,412688.58,304884.93,328228.33695,241827.93999999997,772020.45,2164263.75,2162366.4485049997,1835077.04,1320353.76,1299027.37719,1028180.04,2164263.75,1320353.76,3484617.51,3484617.51,0.0,339.47573,439.080272736,140.7038,151.852807124,400.13866,477.36189998,880.31819,1068.29497984,792.71062,3945.26095,4147.291561999999,3320.6489899999997,11.051645807394372,-17.595963042731288,18.809936307059072,,,,,,1219.277271468144,1409.3601316622692,1374.1765761058866,1394.047583865546,-632.32223,171.82874,-18.27049999999997,94.43772,247.99596000000005,31.97933906095498,42.54235644687305,44.86075887125867,40.6775211214572,171.82874,-18.27049999999997,94.43772,247.99596000000005,28.171172970991325,-356.03560000000004,-108.03964,-17.57386094779997,115.87224999999997,-12.272794226823844,-3.429610657312812,-1.6449734111162733,14.617219332825382,-326.52892,-434.5685600000001,-135.30709000000024,-254.9443024000002,11373.353779582672,29.168667285153507,14441.363434665118,1.2697541740581486,0.3886644587783788,,6599.086881559219,85.87917511962351,0.027,0.0166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,1061,499,414,148,,179.0,135.0,1474245.0300000007,1786637.7700000005,2968505.737,-312392.7399999995,13.64540857411225,-859167.0099999992,-284625.83999999927,1394235.0042000008,1.5121887670118104,5.910140702900326,-11.197329538987418,,,,,,0.1452317226098542,46821941.20799999,133.4,136.03433333333334,26.0,33.7,47.400000000000006,26.3,756010.0,794698.8200099999,,,,,,,,,GBP,ma_parser,2026-04-06 13:57:24.824671+00:00,,,,,,,,,
portco-alpha,2026-02-28,FY26,Q2,4,467135.52,561253.746635,412688.58,304884.93,328228.33695,241827.93999999997,772020.45,2164263.75,2162366.4485049997,1835077.04,1320353.76,1299027.37719,1028180.04,2164263.75,1320353.76,3484617.51,3484617.51,0.0,339.47573,439.080272736,140.7038,151.852807124,400.13866,477.36189998,880.31819,1068.29497984,792.71062,3945.26095,4147.291561999999,3320.6489899999997,11.051645807394372,-17.595963042731288,18.809936307059072,,,,,,1219.277271468144,1409.3601316622692,1374.1765761058866,1394.047583865546,-632.32223,171.82874,-18.27049999999997,94.43772,247.99596000000005,31.97933906095498,42.54235644687305,44.86075887125867,40.6775211214572,171.82874,-18.27049999999997,94.43772,247.99596000000005,28.171172970991325,-356.03560000000004,-108.03964,-17.57386094779997,115.87224999999997,-12.272794226823844,-3.429610657312812,-1.6449734111162733,14.617219332825382,-326.52892,-434.5685600000001,-135.30709000000024,-254.9443024000002,11373.353779582672,29.168667285153507,14441.363434665118,1.2697541740581486,0.3886644587783788,,6599.086881559219,85.87917511962351,0.027,0.0166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,1061,499,414,148,,179.0,135.0,1474245.0300000007,1786637.7700000005,2968505.737,-312392.7399999995,13.64540857411225,-859167.0099999992,-284625.83999999927,1394235.0042000008,1.5121887670118104,5.910140702900326,-11.197329538987418,,,,,,0.1452317226098542,46821941.20799999,133.4,136.03433333333334,26.0,33.7,47.400000000000006,26.3,756010.0,794698.8200099999,,,,,,,,,GBP,ma_parser,2026-04-06 14:01:24.152015+00:00,,,,,,,,,
portco-alpha,2026-02-28,FY26,Q2,4,467135.52,561253.746635,412688.58,304884.93,328228.33695,241827.93999999997,772020.45,2164263.75,2162366.4485049997,1835077.04,1320353.76,1299027.37719,1028180.04,2164263.75,1320353.76,3484617.51,3484617.51,0.0,339.47573,439.080272736,140.7038,151.852807124,400.13866,477.36189998,880.31819,1068.29497984,792.71062,3945.26095,4147.291561999999,3320.6489899999997,11.051645807394372,-17.595963042731288,18.809936307059072,,,,,,1219.277271468144,1409.3601316622692,1374.1765761058866,1394.047583865546,-632.32223,171.82874,-18.27049999999997,94.43772,247.99596000000005,31.97933906095498,42.54235644687305,44.86075887125867,40.6775211214572,171.82874,-18.27049999999997,94.43772,247.99596000000005,28.171172970991325,-356.03560000000004,-108.03964,-17.57386094779997,115.87224999999997,-12.272794226823844,-3.429610657312812,-1.6449734111162733,14.617219332825382,-326.52892,-434.5685600000001,-135.30709000000024,-254.9443024000002,11373.353779582672,29.168667285153507,14441.363434665118,1.2697541740581486,0.3886644587783788,,6599.086881559219,85.87917511962351,0.027,0.0166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,1061,499,414,148,,179.0,135.0,1474245.0300000007,1786637.7700000005,2968505.737,-312392.7399999995,13.64540857411225,-859167.0099999992,-284625.83999999927,1394235.0042000008,1.5121887670118104,5.910140702900326,-11.197329538987418,,,,,,0.1452317226098542,46821941.20799999,133.4,136.03433333333334,26.0,33.7,47.400000000000006,26.3,756010.0,794698.8200099999,,,,,,,,,GBP,ma_parser,2026-04-06 14:02:05.733251+00:00,,,,,,,,,
portco-alpha,2026-02-28,FY26,Q2,4,467135.52,561253.746635,412688.58,304884.93,328228.33695,241827.93999999997,772020.45,2164263.75,2162366.4485049997,1835077.04,1320353.76,1299027.37719,1028180.04,2164263.75,1320353.76,3484617.51,3484617.51,0.0,339.47573,439.080272736,140.7038,151.852807124,400.13866,477.36189998,880.31819,1068.29497984,792.71062,3945.26095,4147.291561999999,3320.6489899999997,11.051645807394372,-17.595963042731288,18.809936307059072,,,,,,1219.277271468144,1409.3601316622692,1374.1765761058866,1394.047583865546,-632.32223,171.82874,-18.27049999999997,94.43772,247.99596000000005,31.97933906095498,42.54235644687305,44.86075887125867,40.6775211214572,171.82874,-18.27049999999997,94.43772,247.99596000000005,28.171172970991325,-356.03560000000004,-108.03964,-17.57386094779997,115.87224999999997,-12.272794226823844,-3.429610657312812,-1.6449734111162733,14.617219332825382,-326.52892,-434.5685600000001,-135.30709000000024,-254.9443024000002,11373.353779582672,29.168667285153507,14441.363434665118,1.2697541740581486,0.3886644587783788,,6599.086881559219,85.87917511962351,0.027,0.0166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,1061,499,414,148,,179.0,135.0,1474245.0300000007,1786637.7700000005,2968505.737,-312392.7399999995,13.64540857411225,-859167.0099999992,-284625.83999999927,1394235.0042000008,1.5121887670118104,5.910140702900326,-11.197329538987418,,,,,,0.1452317226098542,46821941.20799999,133.4,136.03433333333334,26.0,33.7,47.400000000000006,26.3,756010.0,794698.8200099999,,,,,,,,,GBP,ma_parser,2026-04-06 14:10:22.528464+00:00,,,,,,,,,
portco-alpha,2026-02-28,FY26,Q2,4,467135.52,561253.746635,412688.58,304884.93,328228.33695,241827.93999999997,772020.45,2164263.75,2162366.4485049997,1835077.04,1320353.76,1299027.37719,1028180.04,2164263.75,1320353.76,3484617.51,3484617.51,0.0,339.47573,439.080272736,140.7038,151.852807124,400.13866,477.36189998,880.31819,1068.29497984,792.71062,3945.26095,4147.291561999999,3320.6489899999997,11.051645807394372,-17.595963042731288,18.809936307059072,,,,,,1219.277271468144,1409.3601316622692,1374.1765761058866,1394.047583865546,-632.32223,171.82874,-18.27049999999997,94.43772,247.99596000000005,31.97933906095498,42.54235644687305,44.86075887125867,40.6775211214572,171.82874,-18.27049999999997,94.43772,247.99596000000005,28.171172970991325,-356.03560000000004,-108.03964,-17.57386094779997,115.87224999999997,-12.272794226823844,-3.429610657312812,-1.6449734111162733,14.617219332825382,-326.52892,-434.5685600000001,-135.30709000000024,-254.9443024000002,11373.353779582672,29.168667285153507,14441.363434665118,1.2697541740581486,0.3886644587783788,,6599.086881559219,85.87917511962351,0.027,0.0166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,1061,499,414,148,,179.0,135.0,1474245.0300000007,1786637.7700000005,2968505.737,-312392.7399999995,13.64540857411225,-859167.0099999992,-284625.83999999927,1394235.0042000008,1.5121887670118104,5.910140702900326,-11.197329538987418,,,,,,0.1452317226098542,46821941.20799999,133.4,136.03433333333334,26.0,33.7,47.400000000000006,26.3,756010.0,794698.8200099999,,,,,,,,,GBP,ma_parser,2026-04-06 14:11:11.822920+00:00,,,,,,,,,
portco-alpha,2026-02-28,FY26,Q2,4,467135.51999999996,561253.746635,412688.57999999996,304884.93,328228.33695,241827.93999999997,772020.45,2164263.75,2162366.4485049997,1835077.04,1320353.76,1299027.3771900001,1028180.0399999999,2164263.75,1320353.76,3484617.51,3484617.51,0.0,339.47573,439.080272736,140.7038,151.852807124,400.13866,477.36189998,880.31819,1068.29497984,792.71062,3945.26095,4147.291561999999,3320.6489899999997,11.051645807394372,-17.595963042731288,18.809936307059072,,,,,,1219.277271468144,1409.3601316622692,1374.1765761058866,1394.0475838655461,-632.32223,171.82874,-18.27049999999997,94.43772000000001,247.99596000000005,31.97933906095498,42.54235644687305,44.86075887125867,40.6775211214572,171.82874,-18.27049999999997,94.43772000000001,247.99596000000005,28.171172970991325,-356.03560000000004,-108.03963999999999,-17.57386094779997,115.87224999999995,-12.272794226823843,-3.429610657312812,-1.6449734111162733,14.617219332825382,-326.52892,-434.56856000000005,-135.30709000000024,-254.9443024000002,11373.353779582672,29.168667285153507,14441.363434665118,1.2697541740581486,0.38866445877837885,,6599.086881559219,85.87917511962351,0.027,0.016666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,722,499,414,148,,179.0,135.0,1474245.0300000007,1786637.7700000003,2968505.737,-312392.7399999995,13.64540857411225,-859167.0099999992,-284625.83999999927,1394235.0042000008,1.5121887670118104,5.910140702900326,-11.197329538987418,,,,,,0.14523172260985426,46821941.20799999,133.4,136.03433333333334,26.0,33.7,47.400000000000006,26.3,756010.0,794698.8200099999,,,,,,,,,GBP,ma_parser,2026-04-06 14:12:39.221182+00:00,10322.531860000001,-935.24956,288.0455,627.0702200000001,538.0,935.6,960.0,1103.1792824000004,13839.177302400001
